FIPS,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score
6037123420,4408,Los Angeles,91606,Los Angeles,-118.4146718,34.193033,48.21
6037601100,6869,Los Angeles,90301,Inglewood,-118.3482313,33.9490818,48.20
6037208801,3027,Los Angeles,90057,Los Angeles,-118.2770843,34.059675,48.15
6037133000,4778,Los Angeles,91335,Los Angeles,-118.5571125,34.196082,48.14
6037407702,6744,Los Angeles,91744,La Puente,-117.9466049,34.0211007,48.11
6037531603,3409,Los Angeles,90022,East Los Angeles,-118.1615136,34.0298023,48.08
6037211202,2239,Los Angeles,90004,Los Angeles,-118.294113,34.0745209,48.06
6037570602,6177,Los Angeles,90805,Long Beach,-118.1729332,33.8561559,48.05
6037552100,6624,Los Angeles,90650,Norwalk,-118.0880792,33.9054717,48.04
6037224420,2637,Los Angeles,90007,Los Angeles,-118.2769037,34.0316495,48.02
6037301801,5258,Los Angeles,91203,Glendale,-118.2596966,34.1556466,47.98
6037293201,6289,Los Angeles,90501,Los Angeles,-118.30513,33.8308864,47.97
6037482301,4941,Los Angeles,91776,San Gabriel,-118.0990697,34.0741046,47.88
6037533503,2141,Los Angeles,90255,Huntington Park,-118.1910856,33.9845559,47.87
6037501803,4427,Los Angeles,90602,Whittier,-118.0408524,33.9717393,47.87
6037208620,4446,Los Angeles,90057,Los Angeles,-118.2779829,34.069709,47.86
6037192700,3449,Los Angeles,90004,Los Angeles,-118.2881064,34.0800134,47.83
6037102105,1905,Los Angeles,91505,Los Angeles,-118.3492638,34.2098714,47.82
6037571703,3557,Los Angeles,90805,Long Beach,-118.191734,33.8493201,47.78
6037127804,4352,Los Angeles,91405,Los Angeles,-118.4618228,34.1974926,47.76
6037294510,5082,Los Angeles,90744,Los Angeles,-118.271694,33.7865877,47.74
6037302002,3949,Los Angeles,91206,Glendale,-118.2505278,34.1491687,47.67
6037122120,5011,Los Angeles,91352,Los Angeles,-118.3719094,34.2107757,47.67
6037601002,5167,Los Angeles,90301,Inglewood,-118.3475932,33.9565607,47.66
6037570601,5610,Los Angeles,90805,Long Beach,-118.1809849,33.8569402,47.65
6037208904,3978,Los Angeles,90057,Los Angeles,-118.2700929,34.0595681,47.60
6037551900,5203,Los Angeles,90650,Norwalk,-118.1046032,33.9105501,47.54
6037131010,6686,Los Angeles,91335,Los Angeles,-118.5382539,34.214735,47.53
6037405203,3638,Los Angeles,91706,Baldwin Park,-117.9569613,34.0762599,47.52
6037701801,7001,Los Angeles,90404,Santa Monica,-118.4657238,34.0274538,47.52
6037533804,4207,Los Angeles,90201,Bell,-118.1791444,33.9752181,47.42
6037534802,3136,Los Angeles,90255,Walnut Park,-118.2216728,33.971185,47.35
6037222200,4016,Los Angeles,90018,Los Angeles,-118.3024156,34.0309167,47.34
6037407602,3993,Los Angeles,91744,La Puente,-117.9468466,34.0323937,47.32
6037604100,7302,Los Angeles,90260,Lawndale,-118.348246,33.8815498,47.31
6037104201,4569,Los Angeles,91340,Los Angeles,-118.4160998,34.2865005,47.25
6037432602,4852,Los Angeles,91732,El Monte,-118.0052966,34.0814708,47.24
6037320300,6734,Los Angeles,91340,San Fernando,-118.4458616,34.2821477,47.23
6037602200,7200,Los Angeles,90250,Del Aire,-118.3695802,33.9231962,47.22
6037900201,1129,Los Angeles,93535,Unincorporated Los Angeles County area,-117.956249,34.7083865,47.20
6037501400,3669,Los Angeles,90601,Whittier,-118.0474017,33.9819778,47.20
6037294520,3710,Los Angeles,90744,Los Angeles,-118.2658196,33.7868323,47.16
6037213310,3015,Los Angeles,90006,Los Angeles,-118.2978915,34.0508743,47.15
6037232600,6833,Los Angeles,90037,Los Angeles,-118.2979984,33.9920924,47.14
6037503104,2542,Los Angeles,90605,South Whittier,-118.0432662,33.9202427,47.13
6037311802,4068,Los Angeles,91502,Burbank,-118.3112874,34.1710001,47.13
6037534501,5226,Los Angeles,90255,Huntington Park,-118.207662,33.9677268,47.05
6037601211,2880,Los Angeles,90301,Inglewood,-118.357722,33.962383,47.02
6037550100,7329,Los Angeles,90650,Norwalk,-118.0760625,33.9237304,47.01
6037551401,4582,Los Angeles,90241,Downey,-118.156034,33.9440174,47.01
6037501804,2175,Los Angeles,90602,Whittier,-118.0349208,33.9698819,47.00
6037603704,6609,Los Angeles,90250,Hawthorne,-118.3319132,33.9001056,46.99
6037121102,2479,Los Angeles,91352,Los Angeles,-118.3841883,34.2375326,46.99
6037201601,2323,Los Angeles,90032,Los Angeles,-118.1774624,34.0726971,46.96
6037530901,3684,Los Angeles,90063,East Los Angeles,-118.1886037,34.0432749,46.94
6037900501,7225,Los Angeles,93535,Lancaster,-118.1206518,34.6836304,46.92
6037195600,2948,Los Angeles,90026,Los Angeles,-118.2655482,34.0808254,46.87
6037119320,4906,Los Angeles,91402,Los Angeles,-118.4547256,34.2369427,46.87
6037603802,4040,Los Angeles,90260,Lawndale,-118.3481442,33.8909804,46.81
6037224410,3194,Los Angeles,90007,Los Angeles,-118.2799814,34.0351392,46.81
6037432202,4471,Los Angeles,91770,Rosemead,-118.0708948,34.0859512,46.80
6037553502,4066,Los Angeles,90723,Paramount,-118.1515696,33.899999,46.78
6037119900,5245,Los Angeles,91402,Los Angeles,-118.4412802,34.2278369,46.76
6037208401,4765,Los Angeles,90057,Los Angeles,-118.2691298,34.0637659,46.70
6037404901,5700,Los Angeles,91706,Baldwin Park,-117.9770768,34.0971898,46.69
6037277400,909,Los Angeles,90045,Los Angeles,-118.3743486,33.9490354,46.69
6037535804,5328,Los Angeles,90280,South Gate,-118.2033667,33.9476027,46.66
6037542103,3685,Los Angeles,90221,East Rancho Dominguez,-118.196493,33.9012219,46.64
6037603400,4113,Los Angeles,90249,Gardena,-118.3134339,33.8934711,46.62
6037211921,2521,Los Angeles,90020,Los Angeles,-118.292902,34.067232,46.60
6037301502,6750,Los Angeles,91201,Glendale,-118.2886611,34.1723661,46.58
6037432901,3727,Los Angeles,91770,Rosemead,-118.0708582,34.0766629,46.55
6037600202,7767,Los Angeles,90044,Westmont,-118.2991423,33.9426036,46.54
6037553902,5415,Los Angeles,90723,Paramount,-118.153083,33.8851416,46.54
6037553901,6773,Los Angeles,90723,Paramount,-118.1514235,33.8928037,46.50
6037119400,5499,Los Angeles,91331,Los Angeles,-118.4353682,34.2378874,46.48
6037530202,4348,Los Angeles,90640,Montebello,-118.1344535,34.0298138,46.47
6037199120,4511,Los Angeles,90031,Los Angeles,-118.1996896,34.0700703,46.45
6037404201,3519,Los Angeles,91702,Azusa,-117.8953117,34.1265873,46.43
6037502004,4251,Los Angeles,90602,Whittier,-118.0477889,33.9609046,46.42
6037131100,3197,Los Angeles,91406,Los Angeles,-118.5056231,34.2146245,46.37
6037534403,2795,Los Angeles,90201,Cudahy,-118.1971314,33.9681673,46.36
6037432402,6938,Los Angeles,91731,El Monte,-118.0271968,34.0848582,46.32
6037402301,5464,Los Angeles,91768,Pomona,-117.7700769,34.0680438,46.32
6037600302,3086,Los Angeles,90047,Westmont,-118.3046455,33.935475,46.29
6037234600,4908,Los Angeles,90043,Los Angeles,-118.327561,33.9920177,46.27
6037530006,4430,Los Angeles,90640,Montebello,-118.1126395,34.020019,46.25
6037191204,2033,Los Angeles,90029,Los Angeles,-118.2982812,34.0930661,46.25
6037217200,4156,Los Angeles,90019,Los Angeles,-118.3424594,34.049584,46.25
6037554002,5856,Los Angeles,90706,Bellflower,-118.1336322,33.8922721,46.24
6037190510,4051,Los Angeles,90028,Los Angeles,-118.3113901,34.0999771,46.19
6037554301,3499,Los Angeles,90706,Bellflower,-118.1456075,33.8822564,46.17
6037602106,5403,Los Angeles,90250,Hawthorne,-118.3581593,33.9204031,46.12
6037234700,3690,Los Angeles,90043,Los Angeles,-118.3276852,33.9872213,46.10
6037433902,3284,Los Angeles,91732,El Monte,-118.0268687,34.0525708,46.09
6037238400,4694,Los Angeles,90047,Los Angeles,-118.3089917,33.9563491,46.04
6037127805,3627,Los Angeles,91405,Los Angeles,-118.4576889,34.1921963,46.00
6037192510,3840,Los Angeles,90004,Los Angeles,-118.3068568,34.079869,45.98
6037211320,3337,Los Angeles,90004,Los Angeles,-118.2941394,34.0708715,45.97
6037125310,4313,Los Angeles,91601,Los Angeles,-118.366031,34.1695168,45.96
6037124300,2988,Los Angeles,91601,Los Angeles,-118.3642963,34.1757378,45.95
6037221710,2833,Los Angeles,90007,Los Angeles,-118.2876316,34.0346981,45.95
6037128102,4625,Los Angeles,91401,Los Angeles,-118.4443506,34.1902959,45.94
6037404600,1394,Los Angeles,91706,Irwindale,-117.9635233,34.1119138,45.94
6037213320,2469,Los Angeles,90006,Los Angeles,-118.2937,34.050883,45.91
6037603200,3394,Los Angeles,90248,Gardena,-118.3022069,33.8701634,45.90
6037211310,3873,Los Angeles,90004,Los Angeles,-118.298493,34.0709091,45.89
6037213202,3942,Los Angeles,90006,Los Angeles,-118.3045035,34.0490294,45.84
6037203720,4072,Los Angeles,90033,Los Angeles,-118.2031501,34.0468935,45.81
6037535502,5411,Los Angeles,90280,South Gate,-118.2153163,33.961497,45.81
6037128220,2912,Los Angeles,91401,Los Angeles,-118.4355767,34.1835533,45.78
6037117303,3754,Los Angeles,91343,Los Angeles,-118.4912814,34.2281097,45.77
6037294410,5079,Los Angeles,90710,Los Angeles,-118.2898931,33.794128,45.77
6037121801,3127,Los Angeles,91605,Los Angeles,-118.3928771,34.2114871,45.70
6037134800,6399,Los Angeles,91306,Los Angeles,-118.5715501,34.1955756,45.67
6037119202,4759,Los Angeles,91331,Los Angeles,-118.4424803,34.2547197,45.63
6037502602,4477,Los Angeles,90660,Pico Rivera,-118.1032467,33.9650177,45.61
6037222001,3142,Los Angeles,90018,Los Angeles,-118.3132805,34.0281954,45.61
6037207101,3717,Los Angeles,90012,Los Angeles,-118.2448177,34.0612027,45.58
6037213201,3932,Los Angeles,90006,Los Angeles,-118.3045301,34.0526559,45.58
6037294610,4334,Los Angeles,90744,Los Angeles,-118.2581968,33.787324,45.55
6037407801,5727,Los Angeles,91744,Valinda,-117.9214946,34.0302293,45.55
6037551800,7267,Los Angeles,90242,Downey,-118.1260092,33.9131762,45.52
6037188100,3918,Los Angeles,90039,Los Angeles,-118.2703438,34.1366071,45.51
6037544002,3187,Los Angeles,90810,Carson,-118.2179347,33.8289273,45.50
6037552002,3409,Los Angeles,90650,Norwalk,-118.0876278,33.9131184,45.48
6037500404,4551,Los Angeles,90660,Pico Rivera,-118.0739965,34.0139543,45.43
6037124203,2384,Los Angeles,91601,Los Angeles,-118.374665,34.1776041,45.42
6037131702,3770,Los Angeles,91335,Los Angeles,-118.5476933,34.2035942,45.40
6037575201,4772,Los Angeles,90813,Long Beach,-118.1767949,33.7864873,45.40
6037218701,2324,Los Angeles,90016,Los Angeles,-118.3333058,34.0373889,45.39
6037221602,3030,Los Angeles,90007,Los Angeles,-118.2921024,34.0384299,45.38
6037199300,4202,Los Angeles,90031,Los Angeles,-118.2003961,34.0941911,45.37
6037530204,3904,Los Angeles,90640,Montebello,-118.1283266,34.0190693,45.37
6037900607,3651,Los Angeles,93535,Lancaster,-118.1241061,34.6932022,45.34
6037203900,3353,Los Angeles,90063,Los Angeles,-118.1944844,34.0333782,45.27
6037572100,1113,Los Angeles,90806,Long Beach,-118.2035057,33.8238924,45.24
6037132502,3922,Los Angeles,91335,Los Angeles,-118.5469513,34.1911391,45.23
6037199202,3155,Los Angeles,90031,Los Angeles,-118.2032952,34.0812835,45.21
6037571704,4076,Los Angeles,90805,Long Beach,-118.1870723,33.8499458,45.08
6037221304,3656,Los Angeles,90019,Los Angeles,-118.3146461,34.045362,45.06
6037195804,2533,Los Angeles,90026,Los Angeles,-118.2728192,34.0787744,45.03
6037222600,5549,Los Angeles,90007,Los Angeles,-118.295871,34.0218424,44.96
6037209510,3076,Los Angeles,90006,Los Angeles,-118.2819584,34.0529626,44.88
6037601212,6774,Los Angeles,90301,Inglewood,-118.3570019,33.9558199,44.85
6037575101,4339,Los Angeles,90804,Long Beach,-118.1623973,33.7881302,44.84
6037113233,7345,Los Angeles,91304,Los Angeles,-118.6012203,34.2269621,44.83
6037481500,4489,Los Angeles,91801,Alhambra,-118.1127509,34.0822256,44.82
6037404903,2738,Los Angeles,91706,Baldwin Park,-117.9726977,34.0875933,44.82
6037500403,3829,Los Angeles,90660,Pico Rivera,-118.0662039,34.0117536,44.73
6037195803,2634,Los Angeles,90026,Los Angeles,-118.2769285,34.0818094,44.71
6037571600,2309,Los Angeles,90805,Long Beach,-118.1813827,33.8498715,44.71
6037117201,5191,Los Angeles,91343,Los Angeles,-118.4700895,34.2426724,44.71
6037543503,5696,Los Angeles,90502,West Carson,-118.2920619,33.8331813,44.70
6037602505,4590,Los Angeles,90250,Hawthorne,-118.341667,33.9055546,44.67
6037191302,1947,Los Angeles,90027,Los Angeles,-118.2884036,34.0962277,44.64
6037221302,4373,Los Angeles,90019,Los Angeles,-118.3114921,34.0417457,44.59
6037554404,4206,Los Angeles,90706,Bellflower,-118.1295305,33.873719,44.55
